,Id,Age Category,Sex,Rank,Time,Year
38220,2705,"[45, 50)",F,2894,22101,2016
38222,2707,"[30, 35)",M,703,13910,2016
38223,2708,"[35, 40)",M,567,13527,2016
38226,2711,"[30, 35)",F,2277,18276,2016
38227,2712,"[40, 45)",M,2506,19292,2016
38228,2713,"[45, 50)",M,1517,16047,2016
38229,2714,"[30, 35)",M,2731,20539,2016
38230,2715,"[45, 50)",M,629,13690,2016
38232,2717,"[20, 25)",M,440,13137,2016
38233,2718,"[60, 65)",F,2157,17854,2016
38236,2721,"[45, 50)",F,2850,21664,2016
38237,2722,"[40, 45)",F,1506,16019,2016
38238,2723,"[30, 35)",F,1556,16120,2016
38239,2724,"[25, 30)",M,2831,21368,2016
38241,2726,"[45, 50)",M,2542,19468,2016
38243,2728,"[30, 35)",M,166,12002,2016
38244,2729,"[50, 55)",M,996,14560,2016
38245,2730,"[30, 35)",M,571,13538,2016
38246,2731,"[35, 40)",M,44,10926,2016
38247,2732,"[30, 35)",M,2551,19507,2016
38248,2733,"[35, 40)",M,211,12283,2016
38249,2734,"[40, 45)",M,1791,16774,2016
38250,2735,"[45, 50)",M,587,13572,2016
38252,2737,"[55, 60)",M,3008,24570,2016
38254,2739,"[35, 40)",M,1182,15087,2016
38255,2740,"[60, 65)",M,179,12110,2016
38256,2741,"[40, 45)",M,2100,17651,2016
38257,2742,"[35, 40)",M,1135,14945,2016
38258,2743,"[55, 60)",F,2206,17994,2016
38259,2744,"[50, 55)",F,3021,24928,2016
38260,2745,"[20, 25)",M,362,12860,2016
38262,2747,"[50, 55)",M,1505,16017,2016
38263,2748,"[50, 55)",M,803,14130,2016
38264,2749,"[35, 40)",M,718,13959,2016
38265,2750,"[65, 70)",M,1825,16874,2016
38266,2751,"[40, 45)",M,2847,21654,2016
38267,2752,"[35, 40)",M,413,13083,2016
38268,2753,"[45, 50)",F,1273,15341,2016
38269,2754,"[40, 45)",M,659,13770,2016
38270,2755,"[35, 40)",M,317,12669,2016
38272,2757,"[30, 35)",F,1516,16041,2016
38273,2758,"[35, 40)",M,578,13553,2016
38275,2760,"[30, 35)",M,237,12405,2016
38276,2761,"[35, 40)",F,1985,17314,2016
38277,2762,"[40, 45)",F,1905,17089,2016
38280,2765,"[35, 40)",M,1608,16275,2016
38281,2766,"[30, 35)",F,892,14325,2016
38282,2767,"[25, 30)",F,2621,19791,2016
38283,2768,"[20, 25)",F,2326,18498,2016
38284,2769,"[30, 35)",M,180,12126,2016
38286,2771,"[45, 50)",M,2715,20400,2016
38289,2774,"[20, 25)",F,2016,17394,2016
