Id,Sex,Age Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2016,Time,Rank,TotalRaces,LastRace
128,1,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.563800277393,0.485049833887,1,1
129,0,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.677134931643,0.696907743419,1,1
130,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.529027144839,0.385382059801,1,1
131,1,0.692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.732580410805,0.742652696141,1,1
134,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,1,1,0.471104946833,0.21096345515,2,1
136,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.532494551219,0.398159979555,1,1
137,1,0.384615384615,0,0,0,0,0,0,0,0,1,0,0,0,1,0.524238821742,0.424610273447,2,1
138,1,0.615384615385,0,0,0,0,0,0,0,0,0,0,1,1,1,0.53893402021,0.391259902888,3,1
140,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.467901723796,0.210324559162,1,1
143,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.463179446536,0.193457705086,1,1
144,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,1,1,1,0.537888294476,0.403441519721,3,1
149,1,0.153846153846,0,0,0,0,0,0,0,0,0,0,0,0,1,0.614259295951,0.600817786864,1,1
150,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.751865794862,0.750575006389,1,1
151,0,0.615384615385,0,0,0,0,0,0,0,1,1,1,0,1,1,0.517482332739,0.367544083823,5,1
152,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.533221055412,0.399948888321,1,1
153,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.588534442903,0.54893943266,1,1
155,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43316161416,0.10989010989,1,1
156,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.556931510468,0.46511627907,1,1
158,0,0.538461538462,0,0,0,0,0,0,0,1,1,0,1,0,1,0.53799286705,0.420776897521,4,1
159,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.586982365762,0.545361615129,1,1
160,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483257380622,0.260158446205,1,1
164,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.498679083284,0.303603373371,1,1
166,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.449673073113,0.153590595451,1,1
169,1,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,1,1,0.435308103824,0.107845642729,2,1
170,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,1,1,0.696354269863,0.657168412982,2,1
171,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.462750148603,0.19064656274,1,1
172,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.467010105013,0.20674674163,1,1
173,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4164520177,0.0751341681574,1,1
175,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.743147744535,0.746997188858,1,1
177,0,0.307692307692,0,0,0,0,0,0,1,1,0,1,1,0,1,0.418651344033,0.0727319192435,5,1
179,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.476157453273,0.241758241758,1,1
180,1,0.461538461538,0,0,0,0,0,0,0,0,0,1,1,1,1,0.758387821148,0.814209046767,4,1
181,0,0.692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.462188758999,0.188090978789,1,1
183,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.472987253154,0.227702530028,1,1
185,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.574664817383,0.516227958088,1,1
186,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.702595601347,0.721185790953,1,1
187,1,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.564526781586,0.487349859443,1,1
188,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.566012812892,0.491949910555,1,1
189,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.524965325936,0.370048556095,1,1
191,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.447361468859,0.146179401993,1,1
192,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.532230367875,0.39739330437,1,1
194,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.450828875239,0.157679529773,1,1
197,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.638002773925,0.642218246869,1,1
198,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,1,1,0.505069017898,0.30833120368,2,1
199,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.538735882703,0.415026833631,1,1
200,1,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693976619774,0.714285714286,1,1
201,1,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.513770556766,0.344237158191,1,1
